Id,Merchant Name,Merchant State,Program Area,Transaction Date,Payment Date,Transaction Amount,Item Description,Purchase Amount,Purchase Type,Annual Bid Number,Reference Number,Allocation Id
294705,THE HOME DEPOT #1505,CO,POLICE DEPARTMENT - POLIC,12/16/2016,1/9/2017,199,Operations Support Supplies,Home Supply Warehouse Stores,PCARD,,1413427533000308427516121802587600000000262701    ,1
294706,WEBOFFICEMART COM,MN,POLICE DEPARTMENT - POLIC,12/2/2016,1/9/2017,269.05,Operations Support Supplies,"Stationery, Office Supplies, Printing and Writing Paper",PCARD,,1413427533000308427516120400407900000000025812    ,1
294707,WEBOFFICEMART COM,MN,POLICE DEPARTMENT - POLIC,12/5/2016,1/9/2017,269.05,Operations Support Supplies,"Stationery, Office Supplies, Printing and Writing Paper",PCARD,,1413427533000308427516120600742500000001555746    ,2
294708,GOOGLE  GOOGLE STORAGE,CA,POLICE DEPARTMENT - POLIC,12/2/2016,1/9/2017,9.99,Operations Support Subscription,Direct Marketing - Continuity/Subscription Merchants,PCARD,,1413427533000308427516120200234900000001944737    ,1
294709,SOS REGISTRATION FEE,CO,POLICE DEPARTMENT - POLIC,11/29/2016,1/9/2017,10,Operations Support,Government Services - Not Elsewhere Classified,PCARD,,1413427533000308427516113004302500000000301133    ,1
294710,SAFEWAY STORE 00008854,CO,WASTEWATER - PWWMD,12/13/2016,1/9/2017,27.9,Operations Supervisor Meeting,Grocery Stores and Supermarkets,PCARD,,1413427533000284996716121502163300000000457995    ,1
294711,LARAMIE COUNTY CLERK,IN,HUMAN SERVICES - SOCSV,12/8/2016,1/9/2017,70,Opening a case in Laramie County Processing Fee,Government Services - Not Elsewhere Classified,PCARD,,1413427533000261959216120901288600000001877912    ,1
294712,OTI OPEN TEXT INC,TX,PUBLIC WORKS - PWOPS,12/6/2016,1/9/2017,275,Open Text Software Renewal-Boyd,Schools and Educational Services - Not Elsewhere Classified,PCARD,,1413427533000307982016120700921200000000730162    ,1
294713,VITALSMARTS LC,UT,DENVER PUBLIC LIBRARY - BOOKS,12/16/2016,1/9/2017,99,online crucial conversations-sandra smith,"CONSULTING, MANAGEMENT, AND PUBLIC RELATIONS SVCS",PCARD,,1413427533000274722916121802512700000002191389    ,1
294714,FEDEX 22600902,TN,CUSTOMER INFO SERVICES - TVSVC,12/1/2016,1/9/2017,12.6,OMFTV - Freight for DOM R/M Items,Courier Services,PCARD,,1413427533000317079316120200234900000000580325    ,2
294715,SEARS ROEBUCK   1071,CO,PARKS AND REC - PARKS,11/28/2016,1/9/2017,21.99,Oil/air seperator cup - air compressor in shop,Department Stores,PCARD,,1413427533000240397116113004302500000000815778    ,2
294716,SAFETY KLEEN CORP,TX,PUBLIC WORKS - PWOPS,11/29/2016,1/9/2017,825,oil recycle  72133068-1603861791,Chemicals and Allied Products - Not Elsewhere Classified,PCARD,,1413427533000311553316113004302500000001486855    ,1
294717,WW GRAINGER,PA,PUBLIC WORKS - PWOPS,12/19/2016,1/9/2017,112.11,Oil pump repair kit,Industrial Supplies - Not Elsewhere Classified,PCARD,,1413427533800024681316122002851500000001337411    ,1
294718,TITAN MACHINERY - DENVER,CO,PUBLIC WORKS - PWOPS,12/5/2016,1/9/2017,31,"Oil filter, Inv#8715584GP",Industrial Supplies - Not Elsewhere Classified,PCARD,,1413427533800038533016120600742500000001661496    ,1
294719,TITAN MACHINERY - DENVER,CO,PUBLIC WORKS - PWOPS,11/29/2016,1/9/2017,31,"Oil Filter, Inv#8694373",Industrial Supplies - Not Elsewhere Classified,PCARD,,1413427533800038533016113004302500000001663893    ,1
294720,NAPA STORE 3600007,CO,PARKS AND REC - PARKS,12/13/2016,1/9/2017,48.06,"Oil filter, Fuel filter",Automotive Parts and Accessories Stores,PCARD,,1413427533000240398916121401979600000001367327    ,2
294721,L.L. JOHNSON DIST,CO,PUBLIC WORKS - PWOPS,12/13/2016,1/9/2017,257.8,"Oil Filter, Cup, Inv#1734285",Hardware Stores,ANNUAL BID,0195A0414,1413427533800038533016121401979600000001383228    ,1
294722,TRANSWEST TRUCKS,CO,PUBLIC WORKS - PWOPS,12/8/2016,1/9/2017,58.01,"Oil Drain Tube, Inv#009P77483",Automotive Parts and Accessories Stores,ANNUAL BID,0667A0413,1413427533800038533016120901288600000002028214    ,1
294723,O.J. WATSON COMPANY,CO,PUBLIC WORKS - PWOPS,11/23/2016,1/9/2017,890.45,"Oil Cooler, Fan Assy - KM23C - 0071731-IN",Commercial Equipment - Not Elsewhere Classified,ANNUAL BID,0298A0213,1413427533000335883616112703798500000000079074    ,3
294724,NAPA STORE 3600001,CO,PUBLIC WORKS - PWOPS,12/2/2016,1/9/2017,8.53,OIL CAP                INV 178400,Automotive Parts and Accessories Stores,ANNUAL BID,0010A0311,1413427533000311551716120400485700000000499494    ,1
294725,NAPA STORE 3600006,CO,PARKS AND REC - PARKS,12/1/2016,1/9/2017,34.61,Oil and air filters -wiper blades - for flatbed truck 0-2103,Automotive Parts and Accessories Stores,PCARD,,1413427533000240397116120400407900000000171570    ,2
294726,SIEGEL OIL,CO,PUBLIC WORKS - PWOPS,12/14/2016,1/9/2017,700,"Oil Analysis Kits, Inv#1128775","FUEL DEALERS-COAL, FUEL OIL, LIQ PETROLEUM, WOOD",PCARD,,1413427533800038533016121602343600000000435612    ,1
294727,SIEGEL OIL,CO,PUBLIC WORKS - PWOPS,12/12/2016,1/9/2017,700,"Oil Analysis Kit, Inv#1128160","FUEL DEALERS-COAL, FUEL OIL, LIQ PETROLEUM, WOOD",PCARD,,1413427533800038533016121401979600000000423018    ,1
294728,IBI - SUPPLYWORKS #2251,FL,FIRE DEPARTMENT - FIRES,12/7/2016,1/9/2017,178.56,"oil absorbant, sponges",Plumbing and Heating Equipment and Supplies,PCARD,,1413427533000240582816120901288600000000545513    ,1
294729,STAPLS7167455205000002,TX,ENVIRONMENTAL HEALTH - ENVHL,12/10/2016,1/9/2017,13.4,Ofiice supplies-2nd part of order,"Stationery, Office Supplies, Printing and Writing Paper",ANNUAL BID,5595N0116,1413427533000271501016121201619800000000072129    ,1
294730,IRON MOUNTAIN,MA,ENVIRONMENTAL HEALTH - ENVHL,11/29/2016,1/9/2017,98.3,Offsite File Storage - Iron Mtn.,Business Services - Not Elsewhere Classified,ANNUAL BID,0713A0111,1413427533000242616216113004302500000000481325    ,1
294731,STAPLS7166672260000001,TX,PUBLIC WORKS - PWOPS,11/29/2016,1/9/2017,252.55,Offie Supplies,"Stationery, Office Supplies, Printing and Writing Paper",ANNUAL BID,5595N0116,1413427533000240437516113004302500000001281560    ,1
294732,COD WHOLESALE,CA,TECHNOLOGY SERVICES - EAPPS,12/2/2016,1/9/2017,111.47,Official functions,Miscellaneous and Specialty Retail Stores,PCARD,,DEF1634014974555                                  ,1
294733,CORNER BAKERY 1510,CO,TECHNOLOGY SERVICES - EAPPS,12/13/2016,1/9/2017,180,Official functions,"Eating Places, Restaurants",PCARD,,DEF1634913919037                                  ,1
294734,JIMMY JOHNS # 545 - E,CO,TECHNOLOGY SERVICES - EAPPS,12/7/2016,1/9/2017,50.34,Official functions,Fast Food Restaurants,PCARD,,DEF1634414314201                                  ,1
294735,KING SOOPERS #90,CO,TECHNOLOGY SERVICES - EAPPS,12/16/2016,1/9/2017,97.78,Official functions,Grocery Stores and Supermarkets,PCARD,,1413427533800041144116121802512700000001741099    ,1
294736,NOODLES & CO 148,CO,TECHNOLOGY SERVICES - EAPPS,12/16/2016,1/9/2017,1080,Official functions,"Eating Places, Restaurants",PCARD,,DEF1635414937206                                  ,1
294737,QDOBA MEXICAN GRILL-002,CO,TECHNOLOGY SERVICES - EAPPS,12/16/2016,1/9/2017,675,Official functions,Fast Food Restaurants,PCARD,,DEF1635414937205                                  ,1
294738,QDOBA MEXICAN GRILL-002,CO,TECHNOLOGY SERVICES - EAPPS,12/16/2016,1/9/2017,1000,Official functions,Fast Food Restaurants,PCARD,,DEF1635414937207                                  ,1
294739,QUICK CANDLES/QUICK DECOR,SC,TECHNOLOGY SERVICES - EAPPS,12/2/2016,1/9/2017,51.98,Official functions,Miscellaneous Home Furnishing Specialty Stores,PCARD,,1413427533800041144116120500564800000000452941    ,1
294740,BROOKLYN'S,CO,PARKS AND REC - PARKS,12/15/2016,1/9/2017,209.55,"Official Function-Rail Yard Meet and Greet-nachos, chicken fingers, salad","Eating Places, Restaurants",PCARD,,DEF1635414933087                                  ,2
294741,EINSTEIN BROS-ONLINE CAT,CO,PARKS AND REC - PARKS,12/5/2016,1/9/2017,55.06,Official Function-Quarterly All Staff Meeting-Bagels,"Eating Places, Restaurants",PCARD,,DEF1634113632265                                  ,1
294742,JIMMY JOHNS # 1141 -,CO,PARKS AND REC - PARKS,12/7/2016,1/9/2017,60.85,"Official Function-FTE Staff Meeting-sandwiches, chips, cookies, soft drinks",Fast Food Restaurants,PCARD,,DEF1634414310820                                  ,1
294743,LAMARS DONUTS 25,CO,PARKS AND REC - PARKS,12/5/2016,1/9/2017,57.95,Official Function-End of Year Staff Appreciation-Donuts,Bakeries,PCARD,,DEF1634113632044                                  ,1
294744,LAMARS DONUTS 25,CO,PARKS AND REC - PARKS,12/6/2016,1/9/2017,57.95,Official Function-End of Year Staff Appreciation-Donuts,Bakeries,PCARD,,DEF1634213939325                                  ,1
294745,LAMARS DONUTS 25,CO,PARKS AND REC - PARKS,12/7/2016,1/9/2017,115.9,Official Function-End of Year Staff Appreciation-Donuts,Bakeries,PCARD,,DEF1634314133262                                  ,1
294746,LAMARS DONUTS 25,CO,PARKS AND REC - PARKS,12/8/2016,1/9/2017,111.45,Official Function-End of Year Staff Appreciation-Donuts,Bakeries,PCARD,,DEF1634414310549                                  ,1
294747,MARTYS 47TH STREET DONUTS,CO,PARKS AND REC - PARKS,12/9/2016,1/9/2017,90,Official Function-Donuts for licensed contractor meeting,"Eating Places, Restaurants",PCARD,,DEF1634715061460                                  ,1
294748,EINSTEIN BROS BAGELS0913,CO,PARKS AND REC - PARKS,12/3/2016,1/9/2017,169.89,Official Function-CWS-Chartiy Toy drive - bagels,"Eating Places, Restaurants",PCARD,,DEF1634014970487                                  ,1
294749,EINSTEIN BROS-ONLINE CAT,CO,HUMAN SERVICES - SOCSV,12/17/2016,1/9/2017,70.97,Official Function: Shelter Provider Meeting Pt. 2,"Eating Places, Restaurants",PCARD,,DEF1635414937847                                  ,1
294750,SAVIO LLC,CO,HUMAN SERVICES - SOCSV,12/16/2016,1/9/2017,232.86,Official Function: Shelter Provider Meeting Pt. 2,Caterers,PCARD,,1413427533800043224916121802512700000002192428    ,1
294751,CARIBOU COFFEE CO #1361,CO,PARKS AND REC - PARKS,11/30/2016,1/9/2017,109.61,"Official Function: Federal Lands Access Program launch - sandwiches, coffee",Fast Food Restaurants,PCARD,,1413427533000240604016120100055600000001844893    ,1
294752,MAGGIANOS DWNTWN DENVER,CO,PARKS AND REC - PARKS,11/30/2016,1/9/2017,1147.84,"Official Function: Employee Appreciation Lunch:  Lasagne, pasta, salad","Eating Places, Restaurants",PCARD,,DEF1633714230415                                  ,1
294753,CITY PARK GOLF COURSE,CO,PARKS AND REC - PARKS,12/14/2016,1/9/2017,159.6,"Official Function: Christmas Dinner - Chicken Marsala, Grilled Salmon","Eating Places, Restaurants",PCARD,,DEF1635114174568                                  ,2
294754,MLKBUSINESSAWARDS.ORG,CO,PARKS AND REC - PARKS,11/25/2016,1/9/2017,75,"Official Function, Ticket to MLK Business Award Luncheon - ED's Ofice -","Theatrical Producers(Motion Pictures),Ticket Agencies",PCARD,,1413427533000240600816112703798500000000932480    ,1
294755,HOPS & PIE,CO,PARKS AND REC - PARKS,12/9/2016,1/9/2017,453.9,"Official Function, Ranger of the Year Award and training, open food & pie","Eating Places, Restaurants",PCARD,,DEF1634715061519                                  ,1
294756,GRIMALDI'S PIZZA 07701,CO,PARKS AND REC - PARKS,12/2/2016,1/9/2017,57,"Official Function, DPR Safety Manager Interview Panel - pizza","Eating Places, Restaurants",PCARD,,DEF1634014970671                                  ,1
294757,FAMOUS PIZZA,CO,WASTEWATER - PWWMD,12/2/2016,1/9/2017,51.98,Official Function- PW Safety Process Improvement Workshop,"Eating Places, Restaurants",PCARD,,DEF1634014974073                                  ,1
294758,SAFEWAY STORE 00008854,CO,WASTEWATER - PWWMD,12/1/2016,1/9/2017,19.98,Official Function- PW Safety Process Improvement Workshop,Grocery Stores and Supermarkets,PCARD,,1413427533000276646816120400407900000000494312    ,1
294759,AMAZON MKTPLACE PMTS,WA,WASTEWATER - PWWMD,12/4/2016,1/9/2017,29.17,Official Function- Props for Christmas Party,Book Stores,PCARD,,1413427533000240771716120500564800000000685297    ,1
294760,COLORADO CATERING COMPANY,CO,HUMAN SERVICES - SOCSV,12/5/2016,1/9/2017,253.36,Official function OBHS,Caterers,PCARD,,1413427533000340036416120600742500000000959592    ,1
294761,FAMOUS PIZZA,CO,WASTEWATER - PWWMD,12/5/2016,1/9/2017,83.72,Official Function- Lucity Kick Off,"Eating Places, Restaurants",PCARD,,DEF1634113634876                                  ,1
294762,SAFEWAY STORE 00008854,CO,WASTEWATER - PWWMD,12/15/2016,1/9/2017,49.8,Official Function- Ice for Christmas Party 12.15.16,Grocery Stores and Supermarkets,PCARD,,1413427533000284996716121802512700000000135505    ,1
294763,JAKES FOOD & SPIRITS,CO,TECHNOLOGY SERVICES - EAPPS,12/7/2016,1/9/2017,315,Official function expense for year end meeting with all city PIOs,"Eating Places, Restaurants",,,DEF1634414314221                                  ,2
294764,NOODLES & CO 148,CO,CLERK AND RECORDER - CLERK,12/1/2016,1/9/2017,200,official function expense - all staff meetings,"Eating Places, Restaurants",PCARD,,DEF1633714235117                                  ,1
294765,T STREET ROADHOUSE,CO,CLERK AND RECORDER - CLERK,12/14/2016,1/9/2017,599.73,official function expense - all staff meetings,"Eating Places, Restaurants",PCARD,,1413427533000240452416121602343600000000992530    ,1
294766,STARBUCKS STORE 10625,CO,PARKS AND REC - PARKS,12/9/2016,1/9/2017,95.7,Official Function -Coffee for License Contractor Meeting,Fast Food Restaurants,PCARD,,1413427533000240373216121101540000000000424691    ,1
294767,GRAMMY GOODIES,CO,WASTEWATER - PWWMD,12/14/2016,1/9/2017,1500,Official Function- Christmas Party Food,"Eating Places, Restaurants",PCARD,,DEF1635014422672                                  ,1
294768,SAMSCLUB #6632,CO,HUMAN SERVICES - SOCSV,12/14/2016,1/9/2017,-2.35,Official Function - tax refund,Wholesale Clubs,PCARD,,1413427533800037803816121802512700000000597456_C  ,1
294769,EINSTEIN BROS-ONLINE CAT,CO,HUMAN SERVICES - SOCSV,12/8/2016,1/9/2017,64.57,Official Function - Shelter Provider meeting Pt. 1,"Eating Places, Restaurants",PCARD,,DEF1634414314816                                  ,1
294770,SAVIO LLC,CO,HUMAN SERVICES - SOCSV,12/7/2016,1/9/2017,270.82,Official Function - Shelter Provider Meeting Pt. 1,Caterers,PCARD,,1413427533800043224916120801103700000001994602    ,1
294771,SAFEWAY STORE 00008854,CO,WASTEWATER - PWWMD,12/20/2016,1/9/2017,14.67,Official Function  Senior Staff Meeting,Grocery Stores and Supermarkets,PCARD,,DEF1635713916302                                  ,1
294772,SAFEWAY STORE 00002444,CO,PARKS AND REC - PARKS,11/29/2016,1/9/2017,41.43,"Official Function - Safeway - food for thank you for parks, chips, crackets",Grocery Stores and Supermarkets,PCARD,,1413427533000240600816120100055600000000481468    ,1
294773,MAGGIANOS DWNTWN DENVER,CO,FIRE DEPARTMENT - FIRES,12/20/2016,1/9/2017,451.56,official function - recognition luncheon,"Eating Places, Restaurants",PCARD,,DEF1635713916009                                  ,1
294774,DOZENS,CO,PARKS AND REC - PARKS,12/20/2016,1/9/2017,102.4,"Official Function - PRAB Breaklfast exec comm ,Dozens  breakfast","Eating Places, Restaurants",PCARD,,DEF1635613656919                                  ,1
294775,SQ  VANESSA'S DOGS,CO,PARKS AND REC - PARKS,12/14/2016,1/9/2017,600,"Official function - Marketing - Topping off ceremondy - CMRC, lunch items",Fast Food Restaurants,PCARD,,DEF1635014419028                                  ,1
294776,EINSTEIN BROS-ONLINE CAT,CO,PARKS AND REC - PARKS,12/15/2016,1/9/2017,63.96,"Official function - Marketing - Topping off ceremondy - CMRC, Bagles, coffe","Eating Places, Restaurants",PCARD,,DEF1635114174688                                  ,1
294777,SAFEWAY STORE 00002444,CO,PARKS AND REC - PARKS,11/29/2016,1/9/2017,24.9,"Official Function - ICE for Thank you event  Civic Center Park Staff, ice",Grocery Stores and Supermarkets,PCARD,,1413427533000240600816120100055600000000481472    ,1
294778,SAVIO LLC,CO,HUMAN SERVICES - SOCSV,12/7/2016,1/9/2017,30,Official Function - HMISTraining Part 2,Caterers,PCARD,,1413427533800043224916120801103700000001994598    ,2
294779,SAVIO LLC,CO,HUMAN SERVICES - SOCSV,12/1/2016,1/9/2017,145.21,Official Function - HMIS Training Part 1,Caterers,PCARD,,1413427533800043224916120200234900000002082713    ,1
294780,WAL-MART #3533,CO,CITY COUNCIL - CCOUN,12/6/2016,1/9/2017,72.77,Official Function - GO Bond Community Mtg.12-6-16/Snacks & Water,Grocery Stores and Supermarkets,PCARD,,1413427533000240720416120700921200000001920448    ,1
294781,SPINELLIS MARKET,CO,FIRE DEPARTMENT - FIRES,12/9/2016,1/9/2017,48.91,official function - DPD homicide,Grocery Stores and Supermarkets,PCARD,,DEF1634715065884                                  ,1
294782,SQ  TWO SISTAH'S EAT N TR,CO,PARKS AND REC - PARKS,11/28/2016,1/9/2017,480,Official Function - CPGC Redesign Workgroup- Two Sistahs Eats - lunchs,Caterers,PCARD,,DEF1633413337668                                  ,1
294783,BROOKLYN'S,CO,PARKS AND REC - PARKS,12/3/2016,1/9/2017,18.95,Official Function - Citywide Sports-Toy Drive-salad,"Eating Places, Restaurants",PCARD,,DEF1634014970485                                  ,2
294784,BROOKLYN'S,CO,PARKS AND REC - PARKS,12/3/2016,1/9/2017,122.6,"Official Function - Citywide Sports Toy Drive-nachos, chicken fingers, wing","Eating Places, Restaurants",PCARD,,DEF1634014970486                                  ,1
294785,KING SOOPERS #0029,CO,HUMAN SERVICES - SOCSV,12/9/2016,1/9/2017,61.5,Official Function - Candy for Charitable Event,Grocery Stores and Supermarkets,PCARD,,1413427533800043224916121101540000000001360874    ,1
294786,SPINELLIS MARKET,CO,FIRE DEPARTMENT - FIRES,12/15/2016,1/9/2017,157.82,official function - Big Water,Grocery Stores and Supermarkets,PCARD,,DEF1635114177961                                  ,1
294787,SPINELLIS MARKET,CO,FIRE DEPARTMENT - FIRES,12/19/2016,1/9/2017,18.25,official function - Big Water,Grocery Stores and Supermarkets,PCARD,,DEF1635513477495                                  ,1
294788,KING SOOPERS #0001,CO,FIRE DEPARTMENT - FIRES,12/14/2016,1/9/2017,9.94,Official function - Arson meeting,Grocery Stores and Supermarkets,PCARD,,1413427533000305771916121502163300000001546628    ,1
294789,MAGGIANOS DWNTWN DENVER,CO,FIRE DEPARTMENT - FIRES,12/14/2016,1/9/2017,356.78,Official function - Arson meeting,"Eating Places, Restaurants",PCARD,,DEF1635114177914                                  ,1
294790,PAPA JOHN'S 01056,CO,FIRE DEPARTMENT - FIRES,12/16/2016,1/9/2017,324,Official function - 1999 Broadway,Fast Food Restaurants,PCARD,,1413427533800032649016122002851500000000039759    ,1
294791,KING SOOPERS #0001,CO,DEPT OF FINANCE - TREAS,12/13/2016,1/9/2017,30.99,Official Function,Grocery Stores and Supermarkets,PCARD,,1413427533000240445816121401979600000001219101    ,1
294792,KING SOOPERS #0001,CO,HUMAN SERVICES - SOCSV,12/6/2016,1/9/2017,260.88,Official Function,Grocery Stores and Supermarkets,PCARD,,1413427533800037803816120700921200000001527392    ,1
294793,KING SOOPERS #0092,CO,HUMAN SERVICES - SOCSV,12/13/2016,1/9/2017,24,Official function,Grocery Stores and Supermarkets,PCARD,,1413427533800037803816121401979600000001219886    ,1
294794,LA LOMA,CO,GENERAL SERVICE ADMIN - GSFPM,12/22/2016,1/9/2017,3213.6,OFFICIAL FUNCTION,"Eating Places, Restaurants",PCARD,,DEF1635813889489                                  ,1
294795,PIZZA HUT,CO,HUMAN SERVICES - SOCSV,12/15/2016,1/9/2017,286.99,Official Function,"Eating Places, Restaurants",PCARD,,DEF1635414937797                                  ,1
294796,SAMS CLUB #4777,CO,PUBLIC WORKS - PWOPS,12/16/2016,1/9/2017,57.3,Official Function,Wholesale Clubs,PCARD,,1413427533000338358616121802512700000001924818    ,1
294797,SAMSCLUB #6632,CO,HUMAN SERVICES - SOCSV,12/14/2016,1/9/2017,118.73,Official Function,Wholesale Clubs,PCARD,,1413427533800037803816121502163300000001935685    ,1
294798,SLICEWORKS,CO,CITY COUNCIL - CCOUN,12/12/2016,1/9/2017,126.5,official function,Fast Food Restaurants,PCARD,,DEF1634813517655                                  ,1
294799,WORK OPTIONS FOR W,CO,HUMAN SERVICES - SOCSV,12/7/2016,1/9/2017,78,Official Function,"Eating Places, Restaurants",PCARD,,DEF1634314137576                                  ,1
294800,STAPLS7166839981001001,TX,PURCHASING DEPARTMENT - PURCH,12/3/2016,1/9/2017,-3.51,Office Supply Refund of 3.51,"Stationery, Office Supplies, Printing and Writing Paper",ANNUAL BID,5595N0116,1413427533000238819816120500564800000000055277_C  ,1
294801,STAPLS7167420261000002,TX,CITY COUNCIL - CCOUN,12/9/2016,1/9/2017,9.99,Office supply,"Stationery, Office Supplies, Printing and Writing Paper",PCARD,,1413427533800034146516121101461500000001796633    ,1
294802,STAPLS7167455205000001,TX,ENVIRONMENTAL HEALTH - ENVHL,12/9/2016,1/9/2017,15.29,Office supplies--1st part of order,"Stationery, Office Supplies, Printing and Writing Paper",ANNUAL BID,5595N0116,1413427533000271501016121101461500000001796421    ,1
294803,STAPLS7167367243000001,TX,PARKS AND REC - PARKS,12/13/2016,1/9/2017,13.69,office supplies:computer speakers,"Stationery, Office Supplies, Printing and Writing Paper",ANNUAL BID,5595N0116,1413427533000240377316121401979600000001742247    ,1
294804,STAPLS7168132547000002,TX,PARKS AND REC - PARKS,12/22/2016,1/9/2017,121.38,office supplies: wall racks,"Stationery, Office Supplies, Printing and Writing Paper",ANNUAL BID,5595N0116,1413427533000240377316122303395900000001215608    ,1
294805,STAPLS7168132547000001,TX,PARKS AND REC - PARKS,12/21/2016,1/9/2017,105.92,"office supplies: stacking bin, foler, 4 drwr wide locking, 3 drwr med org","Stationery, Office Supplies, Printing and Writing Paper",ANNUAL BID,5595N0116,1413427533000240377316122203213300000001217430    ,1
294806,STAPLS7166757097000001,TX,PARKS AND REC - PARKS,12/9/2016,1/9/2017,535.98,Office Supplies: Sit to Stand desk,"Stationery, Office Supplies, Printing and Writing Paper",ANNUAL BID,5595N0116,1413427533800044251116121101461500000001796673    ,3
294807,STAPLS7164071317003001,TX,PARKS AND REC - PARKS,12/16/2016,1/9/2017,-390.29,Office Supplies: Return Merchandise TV Cart,"Stationery, Office Supplies, Printing and Writing Paper",ANNUAL BID,5595N0116,1413427533800044251116121802512700000001786258_C  ,2
294808,STAPLS7167179330000001,TX,DEPT OF FINANCE - TREAS,12/6/2016,1/9/2017,58.49,"Office Supplies, W Comp","Stationery, Office Supplies, Printing and Writing Paper",ANNUAL BID,5595N0116,1413427533800043226416120700921200000001607140    ,1
294809,STAPLS7167978202000006,TX,PARKS AND REC - PARKS,12/20/2016,1/9/2017,23.49,"Office Supplies, Stacking Letter Trays","Stationery, Office Supplies, Printing and Writing Paper",ANNUAL BID,5595N0116,1413427533800035272816122103028900000001149683    ,1
294810,STAPLS7167978202000001,TX,PARKS AND REC - PARKS,12/20/2016,1/9/2017,454,"Office Supplies, Post it notes, pents, pencils, scissors, rulers","Stationery, Office Supplies, Printing and Writing Paper",ANNUAL BID,5595N0116,1413427533800035272816122103028900000001149679    ,1
294811,STAPLS7167978202000005,TX,PARKS AND REC - PARKS,12/20/2016,1/9/2017,6.29,"Office Supplies, Pencil Cup","Stationery, Office Supplies, Printing and Writing Paper",ANNUAL BID,5595N0116,1413427533800035272816122103028900000001149687    ,1
294812,STAPLS7167367243000003,TX,PARKS AND REC - PARKS,12/8/2016,1/9/2017,4.45,"office supplies, dust off 2 pack","Stationery, Office Supplies, Printing and Writing Paper",ANNUAL BID,5595N0116,1413427533000240377316120901288600000001727931    ,1
294813,STAPLS7167978202000002,TX,PARKS AND REC - PARKS,12/20/2016,1/9/2017,24.4,"Office Supplies, Double Sided Tape","Stationery, Office Supplies, Printing and Writing Paper",ANNUAL BID,5595N0116,1413427533800035272816122103028900000001149695    ,1
294814,DOLLAR TREE,CO,DEPT OF FINANCE - TREAS,12/8/2016,1/9/2017,33.37,"Office Supplies, DOF Admin.",Variety Stores,PCARD,,1413427533800043226416121101461500000002320619    ,1
294815,SAMS CLUB #6632,CO,DEPT OF FINANCE - TREAS,12/8/2016,1/9/2017,10.73,"Office Supplies, DOF Admin.",Wholesale Clubs,PCARD,,1413427533800043226416120901288600000002163925    ,1
294816,EXPRESS MEDALS,CT,DEPT OF FINANCE - TREAS,12/15/2016,1/9/2017,39.55,"Office Supplies, DOF Admin, PC",Variety Stores,PCARD,,1413427533800043226416121602343600000001261537    ,1
294817,STAPLS7167439259000004,TX,DEPT OF FINANCE - TREAS,12/9/2016,1/9/2017,36.98,"Office Supplies, Controller FS","Stationery, Office Supplies, Printing and Writing Paper",ANNUAL BID,5595N0116,1413427533800043226416121101461500000001796669    ,1
294818,AMAZON MKTPLACE PMTS,WA,DEPT OF FINANCE - TREAS,12/16/2016,1/9/2017,75.85,"Office Supplies, Controller Acct.",Book Stores,PCARD,,1413427533800043226416121802512700000000971066    ,1
294819,STAPLS7167978202000003,TX,PARKS AND REC - PARKS,12/21/2016,1/9/2017,173.63,"Office Supplies, Butcher Paper, Tape Dispenser, Letter Tray","Stationery, Office Supplies, Printing and Writing Paper",ANNUAL BID,5595N0116,1413427533800035272816122203213300000001217718    ,1
294820,STAPLS7167978202000004,TX,PARKS AND REC - PARKS,12/20/2016,1/9/2017,51.39,"Office Supplies, Butcher Paper","Stationery, Office Supplies, Printing and Writing Paper",ANNUAL BID,5595N0116,1413427533800035272816122103028900000001149691    ,1
294821,STAPLS7167434519000001,TX,DEPT OF FINANCE - TREAS,12/9/2016,1/9/2017,68.86,"Office Supplies, BMO","Stationery, Office Supplies, Printing and Writing Paper",ANNUAL BID,5595N0116,1413427533800043226416121101461500000001796657    ,1
294822,STAPLS7166839981000003,TX,PURCHASING DEPARTMENT - PURCH,12/1/2016,1/9/2017,3.51,Office supplies Push Pins Translucent 200 CT,"Stationery, Office Supplies, Printing and Writing Paper",ANNUAL BID,5595N0116,1413427533000238819816120200234900000001687966    ,1
294823,STAPLS7166929951000001,TX,HUMAN SERVICES - SOCSV,12/1/2016,1/9/2017,308.72,Office supplies OBHS,"Stationery, Office Supplies, Printing and Writing Paper",ANNUAL BID,,1413427533000340036416120200234900000001688363    ,4
294824,STAPLS7166929951000002,TX,HUMAN SERVICES - SOCSV,12/10/2016,1/9/2017,71.99,office supplies OBHS,"Stationery, Office Supplies, Printing and Writing Paper",ANNUAL BID,,1413427533000340036416121201619800000000072309    ,3
294825,STAPLS7166929951000003,TX,HUMAN SERVICES - SOCSV,12/9/2016,1/9/2017,13.79,office supplies OBHS,"Stationery, Office Supplies, Printing and Writing Paper",ANNUAL BID,,1413427533000340036416121101461500000001796613    ,2
294826,STAPLS7166929951000004,TX,HUMAN SERVICES - SOCSV,12/2/2016,1/9/2017,31.89,Office supplies OBHS,"Stationery, Office Supplies, Printing and Writing Paper",ANNUAL BID,,1413427533000340036416120400407900000001768628    ,3
294827,STAPLS7166929951000005,TX,HUMAN SERVICES - SOCSV,12/10/2016,1/9/2017,37.79,office supplies OBHS,"Stationery, Office Supplies, Printing and Writing Paper",ANNUAL BID,,1413427533000340036416121201619800000000072305    ,3
